filename,left_x,left_y,right_x,right_y
frame_0_00_17_021850.jpg,186,301,319,304
frame_0_00_17_055227.jpg,189,301,323,303
frame_0_00_17_088603.jpg,191,299,325,303
frame_0_00_17_121979.jpg,191,299,326,302
frame_0_00_17_155355.jpg,191,299,326,302
frame_0_00_17_188731.jpg,191,299,326,301
frame_0_00_17_222107.jpg,191,299,326,301
frame_0_00_17_255484.jpg,192,298,327,301
frame_0_00_17_288860.jpg,192,298,327,301
frame_0_00_17_322236.jpg,192,298,327,301
frame_0_00_17_355612.jpg,192,298,327,301
frame_0_00_17_388988.jpg,192,298,327,301
frame_0_00_17_422365.jpg,192,298,327,301
frame_0_00_17_455741.jpg,192,298,327,301
frame_0_00_17_489117.jpg,192,298,327,301
frame_0_00_17_522493.jpg,193,298,327,301
frame_0_00_17_555869.jpg,192,298,327,301
frame_0_00_17_589245.jpg,192,298,328,301
frame_0_00_17_622622.jpg,193,298,328,301
frame_0_00_17_655998.jpg,193,298,328,301
frame_0_00_17_689374.jpg,193,298,328,301
frame_0_00_17_722750.jpg,193,298,327,301
frame_0_00_17_756126.jpg,193,298,328,301
frame_0_00_17_789502.jpg,193,298,328,301
frame_0_00_17_822879.jpg,193,298,328,301
frame_0_00_17_856255.jpg,193,298,328,301
frame_0_00_17_889631.jpg,193,298,328,301
frame_0_00_17_923007.jpg,193,298,328,301
frame_0_00_17_956383.jpg,193,298,328,301
frame_0_00_17_989760.jpg,193,298,328,301
frame_0_00_18_023136.jpg,193,298,328,301
frame_0_00_18_056512.jpg,193,298,328,301
frame_0_00_18_089888.jpg,193,298,328,301
frame_0_00_18_123264.jpg,192,298,328,301
frame_0_00_18_156640.jpg,193,298,328,301
frame_0_00_18_190017.jpg,192,298,328,301
frame_0_00_18_223393.jpg,192,298,327,301
frame_0_00_18_256769.jpg,192,298,328,301
frame_0_00_18_290145.jpg,192,298,327,301
frame_0_00_18_323521.jpg,192,298,328,301
frame_0_00_18_356898.jpg,193,298,328,301
frame_0_00_18_390274.jpg,192,298,327,301
frame_0_00_18_423650.jpg,192,298,327,301
frame_0_00_18_457026.jpg,192,298,327,301
frame_0_00_18_490402.jpg,192,298,327,301
frame_0_00_18_523778.jpg,192,298,327,301
frame_0_00_18_557155.jpg,192,298,327,301
frame_0_00_18_590531.jpg,192,298,327,301
frame_0_00_18_623907.jpg,193,298,327,301
frame_0_00_18_657283.jpg,192,298,328,301
frame_0_00_18_690659.jpg,193,298,328,301
frame_0_00_18_724035.jpg,193,298,328,301
frame_0_00_18_757412.jpg,193,298,328,301
frame_0_00_18_790788.jpg,193,299,327,301
frame_0_00_18_824164.jpg,192,298,327,301
frame_0_00_18_857540.jpg,193,299,327,301
frame_0_00_18_890916.jpg,192,298,328,301
frame_0_00_18_924293.jpg,192,299,327,301
frame_0_00_18_957669.jpg,192,299,328,301
frame_0_00_18_991045.jpg,192,298,328,301
frame_0_00_19_024421.jpg,192,298,328,301
frame_0_00_19_057797.jpg,192,298,328,301
frame_0_00_19_091173.jpg,193,298,327,301
frame_0_00_19_124550.jpg,193,298,327,301
frame_0_00_19_157926.jpg,192,298,327,301
frame_0_00_19_191302.jpg,192,298,327,301
frame_0_00_19_224678.jpg,192,298,327,301
frame_0_00_19_258054.jpg,192,298,327,301
frame_0_00_19_291431.jpg,192,298,327,301
